['CAXVII', 1.12, 1288.8, 1448.6, 0.7, 0.57, 11.59, 10.81, 3.71, 1.44]
['CAXWAB', 1.15, 1259.6, 1442.4, 0.7, 0.55, 11.48, 10.75, 3.61, 1.38]
['CAXWEF', 1.14, 1258.6, 1440.5, 0.71, 0.56, 11.48, 10.81, 3.64, 1.38]
['LECGIL', 0.94, 2133.0, 1997.9, 0.67, 0.77, 10.09, 7.23, 4.39, 2.29]
['UJIZET', 1.16, 1463.8, 1697.6, 0.62, 0.55, 7.09, 5.53, 3.58, 0.99]
['ECOKAJ', 0.33, 3575.4, 1163.2, 0.89, 2.69, 19.0, 17.58, 11.52, 8.93]
['FIHHUB', 0.62, 3413.8, 2114.8, 0.77, 1.2, 15.78, 13.12, 6.48, 3.27]
['SARHAW', 1.13, 1271.5, 1440.5, 0.71, 0.56, 11.26, 10.83, 3.67, 1.39]
['GAZZIS', 0.72, 2455.7, 1758.9, 0.71, 0.95, 11.18, 7.92, 5.63, 2.26]
['SUPLOF', 0.8, 2397.7, 1919.0, 0.68, 0.85, 9.83, 5.82, 5.1, 1.72]
['SAQQOR', 0.78, 2028.2, 1578.5, 0.71, 0.87, 10.69, 9.07, 5.21, 1.92]
['UXUNUX', 0.68, 2913.1, 1976.6, 0.69, 1.04, 7.37, 5.79, 5.92, 1.8]
['TAQGEZ', 0.93, 1827.3, 1694.3, 0.67, 0.76, 8.39, 8.26, 4.41, 1.71]
['VUQJUN01', 0.79, 1936.6, 1531.0, 0.71, 0.85, 11.32, 10.23, 5.13, 1.78]
['UGUHEK', 1.76, 254.1, 446.5, 0.42, 0.32, 4.78, 4.11, 2.38, 0.67]
['FEVNIE', 0.72, 2586.6, 1868.3, 0.68, 1.0, 12.02, 4.54, 5.61, 2.53]
['VUQJUN', 0.79, 1942.6, 1535.8, 0.71, 0.85, 11.33, 10.26, 5.13, 1.81]
['CAXVOO', 1.12, 1285.6, 1440.9, 0.7, 0.57, 11.61, 10.82, 3.68, 1.45]
['OSAVUA', 0.88, 1693.1, 1497.3, 0.63, 0.72, 5.77, 5.6, 4.63, 1.42]
['MEGBAD', 0.85, 2368.0, 2016.2, 0.68, 0.8, 9.52, 5.76, 4.79, 1.93]
['GIFFAE', 1.86, 0.0, 0.0, 0.48, 0.3, 5.13, 3.26, 2.25, 0.4]
['ETEJOD01', 1.1, 1945.6, 2142.0, 0.68, 0.59, 6.67, 4.97, 3.74, 1.02]
['LIZWEX', 0.82, 2259.4, 1849.8, 0.68, 0.89, 18.41, 3.91, 4.96, 2.59]
['EXOTOB', 0.71, 2396.2, 1702.2, 0.69, 0.99, 13.29, 7.78, 5.68, 2.98]
['CAXVUU', 1.15, 1272.2, 1459.4, 0.7, 0.55, 11.31, 10.53, 3.58, 1.35]
['FECXUI', 0.92, 1978.3, 1829.6, 0.68, 0.73, 10.1, 5.68, 4.43, 1.44]
['FEFCUQ', 0.78, 2413.4, 1877.6, 0.7, 0.87, 8.88, 6.35, 5.18, 1.8]
['XIGFOJ', 0.69, 1889.1, 1307.3, 0.78, 1.1, 18.91, 18.73, 5.82, 3.43]
['YILJAG', 0.79, 2743.4, 2161.0, 0.69, 0.91, 9.11, 6.0, 5.12, 2.11]
['NESVEO', 0.9, 2376.0, 2149.7, 0.7, 0.76, 10.2, 4.32, 4.51, 1.39]
['TERFUT', 0.9, 1933.1, 1740.4, 0.7, 0.74, 8.54, 6.59, 4.51, 1.59]
['XIBZUF', 0.94, 2060.4, 1930.0, 0.7, 0.69, 6.92, 4.64, 4.32, 1.11]
['GAZZIS01', 0.72, 2498.4, 1776.4, 0.7, 0.96, 11.2, 7.94, 5.58, 2.23]
['BEXSII', 0.94, 1865.5, 1759.2, 0.68, 0.7, 6.27, 4.79, 4.32, 0.95]
['EMIGOX', 1.53, 1352.9, 2075.9, 0.74, 0.42, 6.95, 5.11, 2.71, 0.57]
['LOQLEJ', 0.99, 1258.4, 1250.6, 0.74, 0.71, 14.7, 14.4, 4.12, 1.63]
['EREGOY', 0.88, 2528.1, 2223.6, 0.7, 0.78, 7.33, 5.25, 4.6, 1.41]
['NAVJAW01', 1.17, 1202.6, 1413.4, 0.69, 0.54, 11.35, 10.98, 3.51, 1.35]
['PEYVEV', 1.42, 741.7, 1052.2, 0.73, 0.44, 8.89, 6.6, 2.9, 0.56]
['PEKCUF', 0.77, 2466.7, 1899.0, 0.68, 0.87, 8.2, 5.43, 5.22, 1.79]
['WAVRAO', 0.82, 1995.5, 1635.8, 0.72, 0.82, 15.02, 4.24, 4.91, 1.67]
['WIYFAM', 0.79, 2796.7, 2221.0, 0.69, 0.91, 9.09, 6.13, 5.1, 2.04]
